"symbol","total_prices","stock_from_date","stock_to_date","total_earnings","earnings_from_date","earnings_to_date"
"CAF","3193","2006-09-28","2019-06-06","0","NULL","NULL"
"CAFD","758","2015-06-19","2018-07-18","0","NULL","NULL"
"CAG","5391","1998-01-02","2019-06-06","40","2009-06-25","2019-03-21"
"CAH","5391","1998-01-02","2019-06-06","40","2009-08-18","2019-05-09"
"CAI","959","2015-08-14","2019-06-06","23","2014-02-10","2019-04-30"
"CAJ","5391","1998-01-02","2019-06-06","39","2009-04-30","2019-04-24"
"CAKE","5388","1998-01-02","2019-06-03","40","2009-07-23","2019-05-01"
"CAL","5391","1998-01-02","2019-06-06","16","2015-08-27","2019-06-03"
"CALA","1174","2014-10-02","2019-06-03","18","2014-11-14","2019-05-09"
"CALD","3617","2003-11-20","2018-04-05","0","NULL","NULL"
"CALI","2664","2008-10-22","2019-06-03","30","2009-11-16","2017-11-14"
"CALL","5253","1998-01-02","2018-11-14","0","NULL","NULL"
"CALM","5388","1998-01-02","2019-06-03","40","2009-07-27","2019-04-01"
"CALX","2317","2010-03-24","2019-06-06","37","2010-05-06","2019-05-01"
"CAMP","5388","1998-01-02","2019-06-03","41","2009-05-12","2019-04-30"
"CAMT","4740","2000-07-28","2019-06-03","41","2009-05-19","2019-05-06"
"CANF","1655","2012-11-06","2019-06-05","19","2014-05-29","2018-11-30"
"CANG","218","2018-07-26","2019-06-07","2","2019-03-27","2019-05-29"
"CAPL","1662","2012-10-25","2019-06-06","19","2014-11-05","2019-05-06"
"CAPR","3097","2007-02-13","2019-06-03","20","2014-05-15","2019-05-13"
"CAR","5388","1998-01-02","2019-06-03","41","2009-05-06","2019-05-01"
"CARA","1343","2014-01-31","2019-06-03","22","2014-03-27","2019-05-07"
"CARB","1964","2011-08-11","2019-06-03","31","2011-11-09","2019-05-02"
"CARE","3084","2007-03-15","2019-06-13","1","2019-04-25","2019-04-25"
"CARG","411","2017-10-12","2019-06-03","7","2017-11-14","2019-05-09"
"CARO","1412","2013-10-22","2019-06-03","20","2014-07-18","2019-04-24"
"CARS","507","2017-06-01","2019-06-06","8","2017-08-09","2019-05-10"
"CART","3636","2004-12-21","2019-06-03","39","2009-08-03","2019-01-29"
"CARV","5388","1998-01-02","2019-06-03","38","2009-05-29","2018-11-13"
"CARZ","2029","2011-05-10","2019-06-03","0","NULL","NULL"
"CASA","1237","2010-11-16","2019-06-03","6","2018-03-06","2019-05-01"
"CASC","4577","2000-01-03","2018-05-31","0","NULL","NULL"
"CASH","5388","1998-01-02","2019-06-03","41","2009-05-14","2019-04-25"
"CASI","5388","1998-01-02","2019-06-03","20","2014-08-14","2019-05-15"
"CASM","4861","1999-12-22","2019-04-18","39","2009-05-06","2018-10-31"
"CASS","5388","1998-01-02","2019-06-03","39","2009-07-23","2019-01-31"
"CASY","5388","1998-01-02","2019-06-03","41","2009-06-15","2019-06-10"
"CAT","5391","1998-01-02","2019-06-06","40","2009-07-21","2019-04-24"
"CATB","991","2015-06-25","2019-06-03","16","2015-08-13","2019-05-14"
"CATC","4884","2000-01-03","2019-06-03","38","2009-10-20","2019-01-23"
"CATH","786","2016-04-19","2019-06-03","0","NULL","NULL"
"CATM","2886","2007-12-13","2019-06-03","40","2009-08-05","2019-05-02"
"CATO","5391","1998-01-02","2019-06-06","37","2009-11-19","2018-11-20"
"CATS","3127","2006-12-28","2019-06-03","33","2011-05-16","2019-05-09"
"CATY","5388","1998-01-02","2019-06-03","40","2009-08-07","2019-04-17"
"CATYW","767","2014-10-10","2018-07-19","0","NULL","NULL"
"CAVM","2818","2007-05-02","2018-07-18","0","NULL","NULL"
"CAW","5354","1998-01-02","2019-04-12","37","2009-07-13","2018-10-22"
"CB","5391","1998-01-02","2019-06-06","40","2009-07-27","2019-04-30"
"CBA","1364","2013-06-26","2019-04-12","0","NULL","NULL"
"CBAK","3982","2002-09-25","2018-07-19","0","NULL","NULL"
"CBAN","5326","1998-04-02","2019-06-03","39","2009-07-24","2019-01-17"
"CBAT","4204","2002-09-25","2019-06-07","13","2014-05-20","2017-11-20"
"CBAY","1342","2014-02-03","2019-06-03","19","2014-11-12","2019-05-08"
"CBB","5391","1998-01-02","2019-06-06","41","2009-05-05","2019-05-08"
"CBD","5391","1998-01-02","2019-06-06","38","2009-05-12","2019-05-08"
"CBFV","4525","2001-06-06","2019-06-03","19","2014-11-06","2019-04-30"
"CBG","3469","2004-06-10","2018-07-19","0","NULL","NULL"
"CBH","488","2017-06-28","2019-06-06","0","NULL","NULL"
"CBI","4621","2000-01-03","2018-07-18","0","NULL","NULL"
"CBIO","3307","2006-04-12","2019-06-03","19","2014-02-13","2019-05-02"
"CBK","5391","1998-01-02","2019-06-06","40","2009-06-25","2019-03-13"
"CBL","5391","1998-01-02","2019-06-06","40","2009-08-04","2019-04-30"
"CBLI","3236","2006-07-25","2019-06-03","31","2010-08-16","2018-11-14"
"CBLK","275","2018-05-04","2019-06-07","2","2019-02-20","2019-05-02"
"CBM","5391","1998-01-02","2019-06-06","41","2009-05-05","2019-05-02"
"CBMB","173","2018-09-28","2019-06-07","0","NULL","NULL"
"CBMG","3023","2007-05-31","2019-06-03","20","2014-08-14","2019-05-01"
"CBNK","385","2016-01-04","2019-06-07","12","2014-01-27","2019-04-24"
"CBO","1579","2013-02-04","2019-06-05","0","NULL","NULL"
"CBOE","2257","2010-06-15","2019-06-03","36","2010-08-05","2019-05-03"
"CBPO","2856","2008-01-29","2019-06-03","41","2009-08-17","2019-05-10"
"CBPX","1343","2014-02-05","2019-06-06","22","2014-03-27","2019-05-02"
"CBRE","308","2018-03-19","2019-06-07","18","2014-02-05","2019-05-08"
"CBRL","5388","1998-01-02","2019-06-03","41","2009-05-27","2019-06-04"
"CBS","3398","2005-12-05","2019-06-06","41","2009-05-07","2019-05-02"
"CBSH","5388","1998-01-02","2019-06-03","40","2009-07-16","2019-04-11"
"CBSHP","1250","2014-06-16","2019-06-03","0","NULL","NULL"
"CBT","5391","1998-01-02","2019-06-06","40","2009-07-29","2019-05-06"
"CBTX","392","2017-11-08","2019-06-03","7","2017-12-14","2019-04-30"
"CBU","5391","1998-01-02","2019-06-06","40","2009-07-22","2019-04-22"
"CBX","2015","2011-05-09","2019-06-05","0","NULL","NULL"
"CBZ","5391","1998-01-02","2019-06-06","39","2009-07-29","2019-04-25"
"CC","990","2015-07-01","2019-06-06","16","2015-08-06","2019-05-02"
"CCA","4931","1999-10-28","2019-06-05","0","NULL","NULL"
"CCB","224","2018-07-18","2019-06-07","1","2019-04-26","2019-04-26"
"CCBG","5388","1998-01-02","2019-06-03","40","2009-07-21","2019-04-22"
"CCC","4575","2000-01-03","2018-03-09","16","2014-02-19","2017-11-06"
"CCCL","2884","2007-12-17","2019-06-03","25","2010-11-08","2017-05-15"
"CCCR","1243","2013-08-13","2019-06-03","0","NULL","NULL"
"CCD","1053","2015-03-27","2019-06-03","0","NULL","NULL"
"CCE","5391","1998-01-02","2019-06-06","0","NULL","NULL"
"CCEP","5392","1998-01-02","2019-06-07","18","2014-02-05","2019-04-30"
"CCF","5390","1998-01-02","2019-06-05","39","2009-07-09","2019-01-03"
"CCH","130","2018-11-26","2019-06-07","2","2014-02-14","2014-05-16"
"CCI","5234","1998-08-18","2019-06-06","40","2009-07-29","2019-04-17"
"CCIH","2180","2010-10-01","2019-05-31","26","2010-11-04","2017-03-27"
"CCJ","5391","1998-01-02","2019-06-06","41","2009-05-01","2019-05-01"
"CCK","5391","1998-01-02","2019-06-06","40","2009-07-15","2019-04-17"
"CCL","5391","1998-01-02","2019-06-06","40","2009-06-18","2019-03-26"
"CCLP","2004","2011-06-15","2019-06-03","18","2015-02-26","2019-05-08"
"CCM","2386","2009-12-11","2019-06-06","25","2010-08-18","2016-08-24"
"CCMP","4819","2000-04-05","2019-06-03","40","2009-07-23","2019-05-08"
"CCNE","5388","1998-01-02","2019-06-03","40","2009-07-29","2019-04-15"
"CCNI","4277","2002-06-06","2019-06-07","16","2014-03-20","2017-11-13"
"CCO","3412","2005-11-14","2019-06-06","42","2009-05-11","2019-04-25"
"CCOI","4361","2002-02-05","2019-06-03","41","2009-05-08","2019-05-02"
"CCR","381","2017-11-29","2019-06-06","15","2015-10-26","2019-05-08"
"CCRC","867","2015-12-21","2019-06-03","0","NULL","NULL"
"CCRN","4430","2001-10-25","2019-06-03","41","2009-05-06","2019-05-01"
"CCS","1251","2014-06-18","2019-06-06","21","2014-08-07","2019-05-02"
"CCT","925","2011-06-28","2019-04-12","0","NULL","NULL"
"CCU","5391","1998-01-02","2019-06-06","34","2009-11-26","2018-08-08"
"CCUR","5388","1998-01-02","2019-06-03","36","2009-08-26","2018-11-09"
"CCXI","1840","2012-02-08","2019-06-03","28","2012-08-10","2019-05-06"
"CCZ","4905","1999-11-24","2019-06-05","0","NULL","NULL"
"CDAY","281","2018-04-26","2019-06-07","2","2019-02-06","2019-05-01"
"CDC","1238","2014-07-02","2019-06-03","0","NULL","NULL"
"CDE","5391","1998-01-02","2019-06-06","40","2009-05-11","2019-05-01"
"CDEV","788","2016-04-15","2019-06-03","12","2016-05-04","2019-05-06"
"CDK","1180","2014-09-24","2019-06-03","19","2014-11-13","2019-04-30"
"CDL","983","2015-07-08","2019-06-03","0","NULL","NULL"
"CDLX","333","2018-02-09","2019-06-07","2","2019-03-05","2019-05-09"
"CDMO","352","2018-01-08","2019-06-03","5","2018-03-12","2019-03-11"
"CDMOP","352","2018-01-08","2019-06-03","0","NULL","NULL"
"CDNA","1228","2014-07-17","2019-06-03","20","2014-08-27","2019-05-08"
"CDNS","5388","1998-01-02","2019-06-03","40","2009-07-29","2019-04-22"
"CDOR","4632","2001-01-02","2019-06-03","21","2014-03-17","2019-05-03"
"CDR","5391","1998-01-02","2019-06-06","41","2009-05-05","2019-05-02"
"CDTI","5388","1998-01-02","2019-06-03","39","2009-05-12","2018-11-14"
"CDTX","1041","2015-04-15","2019-06-03","18","2015-05-21","2019-05-09"
"CDW","1493","2013-06-27","2019-06-03","24","2013-08-02","2019-05-01"
"CDXC","2740","2008-07-15","2019-06-03","38","2009-11-17","2019-05-09"
"CDXS","2294","2010-04-22","2019-06-03","37","2010-05-26","2019-05-06"
"CDZI","5388","1998-01-02","2019-06-03","33","2009-08-10","2018-11-08"
"CE","3618","2005-01-21","2019-06-06","40","2009-07-28","2019-04-22"
"CEA","5390","1998-01-02","2019-06-05","31","2010-04-20","2018-10-26"
"CECE","5388","1998-01-02","2019-06-03","41","2009-05-07","2019-05-08"
"CECO","5370","1998-01-29","2019-06-03","41","2009-05-06","2019-05-08"
"CEE","5391","1998-01-02","2019-06-06","0","NULL","NULL"
"CEI","3129","2006-12-28","2019-06-05","19","2014-02-18","2018-11-16"
"CEIX","383","2017-11-14","2019-06-06","6","2018-05-03","2019-05-08"
"CEL","3104","2007-02-07","2019-06-06","39","2009-05-26","2018-11-22"
"CELC","428","2017-09-19","2019-06-03","7","2017-11-13","2019-05-07"
"CELG","5388","1998-01-02","2019-06-03","40","2009-07-23","2019-04-25"
"CELGZ","2178","2010-10-06","2019-06-03","0","NULL","NULL"
"CELH","3113","2007-01-22","2019-06-03","32","2010-03-04","2019-05-09"
"CELP","1357","2014-01-15","2019-06-06","20","2014-05-14","2019-03-18"
"CEM","2252","2010-06-25","2019-06-06","0","NULL","NULL"
"CEMI","3795","2004-05-05","2019-06-03","41","2009-05-08","2019-05-01"
"CEN","1433","2013-09-26","2019-06-06","0","NULL","NULL"
"CENT","5388","1998-01-02","2019-06-03","41","2009-05-06","2019-05-06"
"CENTA","3102","2007-02-06","2019-06-03","38","2009-08-05","2019-02-06"
"CENX","5388","1998-01-02","2019-06-03","40","2009-07-23","2019-04-30"
"CEO","4597","2001-02-27","2019-06-06","0","NULL","NULL"
"CEPU","338","2018-02-02","2019-06-07","1","2019-03-14","2019-03-14"
"CEQP","4493","2001-07-26","2019-06-06","23","2013-11-07","2019-04-30"
"CERC","892","2015-11-13","2019-06-03","13","2016-03-23","2019-05-09"
"CERCW","639","2015-11-16","2018-08-13","0","NULL","NULL"
"CERN","5388","1998-01-02","2019-06-03","40","2009-07-29","2019-04-25"
"CERS","5388","1998-01-02","2019-06-03","40","2009-07-30","2019-05-07"
"CET","5390","1998-01-02","2019-06-05","2","2015-08-03","2016-08-04"
"CETV","5388","1998-01-02","2019-06-03","39","2009-07-29","2019-02-06"
"CETX","991","2015-06-25","2019-06-03","21","2014-02-19","2019-05-20"
"CETXP","574","2017-02-17","2019-06-03","0","NULL","NULL"
"CETXW","363","2017-02-17","2019-06-03","0","NULL","NULL"
"CEV","5122","1999-01-27","2019-06-05","0","NULL","NULL"
"CEVA","4173","2002-11-01","2019-06-03","41","2009-05-05","2019-05-06"
"CEY","401","2017-10-26","2019-06-03","0","NULL","NULL"
"CEZ","803","2016-03-23","2019-05-31","0","NULL","NULL"
"CF","3478","2005-08-11","2019-06-06","40","2009-07-27","2019-05-01"
"CFA","1238","2014-07-02","2019-06-03","0","NULL","NULL"
"CFBI","527","2017-04-28","2019-06-03","2","2017-12-26","2018-08-09"
"CFBK","5138","1998-12-30","2019-06-03","35","2009-07-17","2018-11-02"
"CFFA","85","2019-02-05","2019-06-07","0","NULL","NULL"
"CFFAU","117","2018-12-13","2019-06-06","0","NULL","NULL"
"CFFAW","85","2019-01-31","2019-06-07","0","NULL","NULL"
"CFFI","5302","1998-05-07","2019-06-03","39","2009-07-29","2019-01-24"
"CFFN","5075","1999-04-01","2019-06-03","41","2009-05-05","2019-04-29"
"CFG","1183","2014-09-24","2019-06-06","19","2014-10-27","2019-04-18"
"CFMS","987","2015-07-01","2019-06-03","16","2015-08-11","2019-05-01"
"CFO","1238","2014-07-02","2019-06-03","0","NULL","NULL"
"CFR","5391","1998-01-02","2019-06-06","40","2009-07-22","2019-04-25"
"CFRX","1188","2014-09-12","2019-06-03","19","2014-11-14","2019-05-10"
"CFX","2789","2008-05-08","2019-06-06","41","2009-05-08","2019-05-08"
"CFXA","104","2019-01-09","2019-06-07","0","NULL","NULL"
"CG","1781","2012-05-03","2019-06-03","29","2012-05-15","2019-05-01"
"CGA","2805","2008-04-16","2019-06-06","38","2009-05-11","2018-11-14"
"CGBD","495","2017-06-14","2019-06-03","8","2017-08-08","2019-05-07"
"CGC","1302","2014-04-07","2019-06-07","2","2019-02-14","2019-06-20"
"CGEN","4730","2000-08-11","2019-06-03","41","2009-05-12","2019-05-20"
"CGG","5224","1998-01-02","2019-04-12","0","NULL","NULL"
"CGI","5099","1998-01-02","2019-01-31","0","NULL","NULL"
"CGIX","1551","2013-04-05","2019-06-03","21","2013-11-13","2018-11-19"
"CGNT","4606","2000-01-03","2018-06-01","0","NULL","NULL"
"CGNX","5388","1998-01-02","2019-06-03","41","2009-05-04","2019-04-29"
"CGO","3421","2005-10-27","2019-06-03","0","NULL","NULL"
"CGVIC","90","2019-01-02","2019-05-10","0","NULL","NULL"
"CH","4613","2000-01-03","2018-07-13","0","NULL","NULL"
"CHA","4167","2002-11-14","2019-06-06","0","NULL","NULL"
"CHAC","62","2019-03-13","2019-06-12","0","NULL","NULL"
"CHAP","516","2017-05-19","2019-06-07","5","2019-02-12","2019-05-09"
"CHCI","3641","2004-12-14","2019-06-03","39","2009-05-13","2018-11-09"
"CHCO","5388","1998-01-02","2019-06-03","40","2009-07-27","2019-04-17"
"CHCT","1018","2015-05-21","2019-06-06","16","2015-08-13","2019-05-07"
"CHD","5391","1998-01-02","2019-06-06","41","2009-05-05","2019-05-02"
"CHDN","5388","1998-01-02","2019-06-03","41","2009-05-06","2019-04-24"
"CHE","5391","1998-01-02","2019-06-06","40","2009-07-30","2019-04-29"
"CHEF","1974","2011-07-28","2019-06-03","32","2011-08-25","2019-05-01"
"CHEK","1070","2015-03-04","2019-06-03","17","2015-06-04","2019-05-13"
"CHEKW","862","2015-03-20","2019-06-03","0","NULL","NULL"
"CHEKZ","169","2018-05-04","2019-06-07","0","NULL","NULL"
"CHFC","5388","1998-01-02","2019-06-03","40","2009-07-27","2019-04-23"
"CHFN","4054","2002-08-02","2019-05-15","0","NULL","NULL"
"CHFS","1834","2012-02-16","2019-06-03","22","2014-03-11","2019-05-07"
"CHGG","1399","2013-11-13","2019-06-06","22","2014-02-13","2019-04-29"
"CHH","5391","1998-01-02","2019-06-06","40","2009-07-29","2019-05-09"
"CHI","4262","2002-06-27","2019-06-03","0","NULL","NULL"
"CHIC","2360","2010-01-22","2019-06-07","0","NULL","NULL"
"CHK","5391","1998-01-02","2019-06-06","41","2009-05-04","2019-05-08"
"CHKE","5388","1998-01-02","2019-06-03","40","2009-06-10","2019-04-23"
"CHKP","5388","1998-01-02","2019-06-03","40","2009-07-28","2019-04-18"
"CHKR","1902","2011-11-11","2019-06-06","26","2012-05-15","2018-11-02"
"CHL","5391","1998-01-02","2019-06-06","0","NULL","NULL"
"CHMA","977","2015-07-16","2019-06-03","15","2015-11-12","2019-05-09"
"CHMG","5136","1999-01-04","2019-06-03","26","2013-01-30","2019-04-17"
"CHMI","1427","2013-10-04","2019-06-06","22","2014-03-25","2019-05-09"
"CHN","5391","1998-01-02","2019-06-06","0","NULL","NULL"
"CHNA","262","2016-01-04","2019-06-07","0","NULL","NULL"
"CHNR","5388","1998-01-02","2019-06-03","3","2014-12-04","2017-12-15"
"CHRA","247","2018-06-14","2019-06-07","4","2019-02-12","2019-05-15"
"CHRS","1149","2014-11-06","2019-06-03","19","2014-12-15","2019-05-09"
"CHRW","5388","1998-01-02","2019-06-03","40","2009-07-21","2019-04-30"
"CHS","5391","1998-01-02","2019-06-06","41","2009-05-27","2019-06-11"
"CHSCL","1102","2015-01-15","2019-06-03","0","NULL","NULL"
"CHSCM","1186","2014-09-16","2019-06-03","0","NULL","NULL"
"CHSCN","1320","2014-03-06","2019-06-03","0","NULL","NULL"
"CHSCO","1433","2013-09-23","2019-06-03","0","NULL","NULL"
"CHSCP","4077","2003-03-24","2019-06-03","0","NULL","NULL"
"CHSP","2357","2010-01-26","2019-06-06","38","2010-05-05","2019-05-08"
"CHT","3941","2003-10-09","2019-06-06","39","2009-08-27","2019-01-30"
"CHTR","2368","2010-01-05","2019-06-03","35","2010-11-03","2019-04-30"
"CHU","4769","2000-06-21","2019-06-06","16","2012-04-26","2016-03-16"
"CHUBA","468","2016-07-22","2018-06-07","0","NULL","NULL"
"CHUBK","468","2016-07-22","2018-06-07","0","NULL","NULL"
"CHUY","1725","2012-07-24","2019-06-03","28","2012-08-29","2019-05-07"
"CHW","2984","2007-07-26","2019-06-03","0","NULL","NULL"
"CHY","4031","2003-05-29","2019-06-03","0","NULL","NULL"
"CI","5390","1998-01-02","2019-06-05","40","2009-07-30","2019-05-02"
"CIA","5391","1998-01-02","2019-06-06","35","2009-05-07","2018-11-07"
"CIB","5391","1998-01-02","2019-06-06","41","2009-06-12","2019-05-09"
"CIBR","985","2015-07-07","2019-06-04","0","NULL","NULL"
"CIC","414","2017-10-06","2019-06-06","0","NULL","NULL"
"CID","952","2015-08-20","2019-06-03","0","NULL","NULL"
"CIDM","3916","2003-11-10","2019-06-03","40","2009-06-11","2019-02-13"
"CIEN","5391","1998-01-02","2019-06-06","41","2009-06-04","2019-06-06"
"CIF","5391","1998-01-02","2019-06-06","0","NULL","NULL"
"CIFS","457","2017-08-08","2019-06-03","2","2017-11-30","2018-05-15"
"CIG","5391","1998-01-02","2019-06-06","18","2009-05-14","2018-09-11"
"CIGI","5388","1998-01-02","2019-06-03","16","2015-08-05","2019-04-26"
"CII","3783","2004-05-26","2019-06-06","0","NULL","NULL"
"CIK","5390","1998-01-02","2019-06-05","0","NULL","NULL"
"CIL","951","2015-08-20","2019-06-03","0","NULL","NULL"
"CIM","2907","2007-11-16","2019-06-06","32","2009-05-04","2019-05-01"
"CINF","5388","1998-01-02","2019-06-03","40","2009-07-30","2019-04-24"
"CINR","900","2015-11-06","2019-06-06","22","2014-02-12","2019-05-10"
"CIO","1295","2014-04-15","2019-06-06","20","2014-08-14","2019-05-03"
"CIR","4940","1999-10-18","2019-06-06","41","2009-07-29","2019-04-25"
"CISN","514","2017-05-22","2019-06-06","8","2017-08-09","2019-05-09"
"CIT","2387","2009-12-10","2019-06-06","37","2010-04-27","2019-04-23"
"CIU","2909","2007-01-11","2018-07-31","0","NULL","NULL"
"CIVB","4632","2001-01-02","2019-06-03","16","2015-07-24","2019-05-03"
"CIVBP","1328","2014-02-03","2019-05-31","0","NULL","NULL"
"CIVEC","90","2019-01-02","2019-05-10","0","NULL","NULL"
"CIVI","1141","2014-09-17","2019-04-02","18","2014-12-17","2019-02-04"
"CIX","5347","1998-03-06","2019-06-05","39","2009-05-01","2018-10-31"
"CIZ","1175","2014-10-01","2019-06-03","0","NULL","NULL"
"CIZN","4935","1999-10-19","2019-06-03","39","2009-07-24","2019-01-25"
"CJ","603","2017-01-12","2019-06-06","9","2017-05-09","2019-05-07"
"CJJD","2780","2008-05-16","2019-06-03","35","2010-06-30","2018-11-14"
"CKH","4887","2000-01-03","2019-06-06","41","2009-07-22","2019-04-24"
"CKPT","616","2016-12-19","2019-06-03","7","2017-08-09","2019-05-09"
"CKX","5007","1999-07-13","2019-06-05","30","2011-08-11","2018-11-09"
"CL","5391","1998-01-02","2019-06-06","40","2009-07-30","2019-04-26"
"CLAR","5289","1998-05-27","2019-06-03","22","2014-03-03","2019-05-06"
"CLB","5392","1998-01-02","2019-06-07","40","2009-07-22","2019-04-24"
"CLBK","285","2018-04-20","2019-06-07","2","2019-01-31","2019-04-25"
"CLBS","5098","1999-03-01","2019-06-03","16","2015-08-06","2019-05-09"
"CLCT","4923","1999-11-05","2019-06-03","40","2009-05-11","2019-02-05"
"CLD","2400","2009-11-20","2019-06-06","37","2010-05-12","2019-03-14"
"CLDB","4636","2001-01-02","2019-06-13","0","NULL","NULL"
"CLDC","1160","2014-10-22","2019-06-03","7","2016-08-15","2018-04-30"
"CLDR","530","2017-04-28","2019-06-06","9","2017-06-08","2019-06-05"
"CLDT","2301","2010-04-16","2019-06-06","36","2010-08-10","2019-05-01"
"CLDX","5388","1998-01-02","2019-06-03","40","2009-05-05","2019-05-07"
"CLF","5391","1998-01-02","2019-06-06","40","2009-07-29","2019-04-25"
"CLFD","5388","1998-01-02","2019-06-03","41","2009-05-11","2019-04-25"
"CLGN","340","2018-01-30","2019-06-07","0","NULL","NULL"
"CLGX","5391","1998-01-02","2019-06-06","36","2010-08-05","2019-04-24"
"CLH","5391","1998-01-02","2019-06-06","41","2009-05-06","2019-05-01"
"CLI","5391","1998-01-02","2019-06-06","41","2009-07-30","2019-05-01"
"CLIR","1787","2012-04-25","2019-06-03","27","2012-06-11","2018-11-08"
"CLIRW","359","2017-01-27","2019-02-15","0","NULL","NULL"
"CLLS","1055","2015-03-25","2019-06-03","15","2015-06-09","2018-11-13"
"CLM","4239","2002-08-02","2019-06-05","0","NULL","NULL"
"CLMT","3360","2006-01-26","2019-06-03","41","2009-05-06","2019-05-10"
"CLNC","339","2018-02-01","2019-06-07","2","2019-02-28","2019-05-08"
"CLNE","3026","2007-05-25","2019-06-03","41","2009-05-07","2019-05-09"
"CLNS","1009","2014-06-27","2019-04-12","0","NULL","NULL"
"CLNY","1245","2014-06-27","2019-06-07","14","2014-02-20","2019-05-10"
"CLOU","37","2019-04-16","2019-06-07","0","NULL","NULL"
"CLPR","583","2017-02-10","2019-06-06","8","2017-03-30","2018-11-01"
"CLPS","261","2018-05-24","2019-06-07","0","NULL","NULL"
"CLR","3037","2007-05-15","2019-06-06","41","2009-05-07","2019-04-29"
"CLRB","3411","2005-11-10","2019-06-03","21","2014-03-25","2019-05-06"
"CLRBW","1193","2014-08-15","2019-06-03","0","NULL","NULL"
"CLRBZ","636","2016-04-20","2019-06-03","0","NULL","NULL"
"CLRG","368","2017-12-13","2019-06-03","0","NULL","NULL"
"CLRO","5388","1998-01-02","2019-06-03","36","2009-10-14","2018-11-13"
"CLS","5268","1998-06-30","2019-06-06","40","2009-07-23","2019-04-25"
"CLSD","755","2016-06-02","2019-06-03","13","2016-08-11","2019-05-08"
"CLSN","5098","1999-03-01","2019-06-03","40","2009-05-12","2019-05-15"
"CLUB","3272","2006-06-02","2019-06-03","41","2009-07-29","2019-04-25"
"CLVS","1896","2011-11-16","2019-06-03","30","2012-03-07","2019-05-07"
"CLW","2642","2008-12-05","2019-06-06","40","2009-07-30","2019-05-01"
"CLWT","5388","1998-01-02","2019-06-03","1","2016-04-28","2016-04-28"
"CLX","5391","1998-01-02","2019-06-06","41","2009-05-01","2019-05-01"
"CLXT","470","2017-07-20","2019-06-03","9","2017-09-01","2019-05-08"
"CM","5391","1998-01-02","2019-06-06","38","2009-05-28","2019-05-22"
"CMA","5391","1998-01-02","2019-06-06","40","2009-07-21","2019-04-16"
"CMC","5391","1998-01-02","2019-06-06","41","2009-06-24","2019-06-20"
"CMCL","486","2017-06-29","2019-06-05","6","2017-08-14","2018-11-14"
"CMCM","1279","2014-05-08","2019-06-06","20","2014-06-02","2019-03-25"
"CMCO","5388","1998-01-02","2019-06-03","42","2009-05-20","2019-05-29"
"CMCSA","5388","1998-01-02","2019-06-03","40","2009-08-06","2019-04-25"
"CMCT","5388","1998-01-02","2019-06-03","16","2014-05-12","2018-11-13"
"CMD","5391","1998-01-02","2019-06-06","21","2014-03-11","2019-06-04"
"CME","4149","2002-12-06","2019-06-03","40","2009-07-23","2019-05-01"
"CMFN","1339","2014-02-06","2019-06-03","21","2014-05-14","2019-05-07"
"CMFNL","196","2018-07-13","2019-06-07","0","NULL","NULL"
"CMG","3363","2006-01-26","2019-06-06","40","2009-07-22","2019-04-24"
"CMI","5391","1998-01-02","2019-06-06","40","2009-07-30","2019-04-30"
"CMLS","4470","2001-01-02","2019-06-07","18","2014-04-29","2019-05-09"
"CMO","5391","1998-01-02","2019-06-06","40","2009-07-29","2019-04-24"
"CMP","3896","2003-12-12","2019-06-06","40","2009-07-28","2019-04-30"
"CMPR","3440","2005-09-30","2019-06-03","18","2015-01-28","2019-05-01"
"CMRE","2160","2010-11-04","2019-06-06","35","2010-11-22","2019-04-22"
"CMRX","1547","2013-04-11","2019-06-03","25","2013-05-13","2019-05-09"
"CMS","5391","1998-01-02","2019-06-06","40","2009-07-30","2019-04-25"
"CMSA","313","2018-03-12","2019-06-07","0","NULL","NULL"
"CMSC","172","2018-10-01","2019-06-07","0","NULL","NULL"
"CMSD","79","2019-02-21","2019-06-13","0","NULL","NULL"
"CMSS","388","2017-11-06","2019-06-03","3","2017-12-05","2018-11-13"
"CMSSR","192","2017-11-06","2019-05-07","0","NULL","NULL"
"CMSSU","177","2017-10-26","2019-05-01","0","NULL","NULL"
"CMSSW","222","2017-11-06","2019-06-03","0","NULL","NULL"
"CMT","5390","1998-01-02","2019-06-05","39","2009-05-07","2018-11-08"
"CMTA","430","2017-08-02","2019-04-17","7","2017-11-13","2019-03-29"
"CMTL","5388","1998-01-02","2019-06-03","41","2009-06-03","2019-06-05"
"CMU","5391","1998-01-02","2019-06-06","0","NULL","NULL"
"CNA","5391","1998-01-02","2019-06-06","41","2009-05-04","2019-04-29"
"CNAC","447","2017-08-10","2019-06-03","0","NULL","NULL"
"CNACR","271","2017-08-10","2019-06-03","0","NULL","NULL"
"CNACU","294","2017-06-20","2019-04-30","0","NULL","NULL"
"CNACW","279","2017-08-10","2019-06-03","0","NULL","NULL"
"CNAT","1474","2013-07-25","2019-06-03","23","2013-11-14","2019-05-02"
"CNBKA","5388","1998-01-02","2019-06-03","39","2009-07-14","2019-01-15"
"CNC","4399","2001-12-13","2019-06-06","40","2009-07-28","2019-04-23"
"CNCE","1334","2014-02-13","2019-06-03","22","2014-03-31","2019-05-02"
"CNCR","914","2015-10-14","2019-06-03","0","NULL","NULL"
